Date,Open,High,Low,Close,Volume,Change,Price-Change,Amplitude
12/7/2000,6475.799805,6545.100098,6466.799805,6518.5,965464000,42.70019531,0.00659381,0.012091216
13/7/2000,6518.5,6530.700195,6460.299805,6475.700195,1048434000,-42.79980469,-0.006565898,0.010800091
14/7/2000,6475.700195,6503.200195,6452.200195,6475.399902,826063000,-0.300292969,-4.64E-05,0.007875596
17/7/2000,6475.399902,6525.700195,6473.700195,6525.5,767081000,50.10009766,0.007736989,0.008030392
18/7/2000,6525.5,6531.399902,6444.600098,6450.5,776029000,-75,-0.011493372,0.013301633
19/7/2000,6450.5,6493.399902,6420.399902,6465.5,746628000,15,0.002325401,0.011316952
20/7/2000,6465.399902,6491.100098,6440.700195,6469,752146000,3.5,0.000541335,0.007795206
21/7/2000,6469,6469,6365.5,6378.399902,698153000,-90.60009766,-0.014005271,0.015999382
24/7/2000,6378.399902,6422.600098,6333,6381.299805,571732000,2.899902344,0.000454644,0.014047426
25/7/2000,6381.299805,6402.100098,6354.5,6390.700195,701497000,9.400390625,0.001473115,0.007459311
26/7/2000,6390.700195,6425.600098,6378.899902,6387.100098,773683000,-3.600097656,-0.000563334,0.007307524
27/7/2000,6387.100098,6456.299805,6352.100098,6352.100098,1037890000,-35,-0.005479795,0.016314087
28/7/2000,6352.100098,6390.299805,6332.600098,6335.700195,947097000,-16.39990234,-0.002581808,0.009083564
31/7/2000,6335.700195,6365.299805,6274.899902,6365.299805,717274000,29.59960938,0.004671877,0.014268336
1/8/2000,6365.299805,6403.100098,6331.5,6379.399902,653743000,14.10009766,0.002215151,0.011248504
2/8/2000,6379.100098,6424.700195,6378.399902,6391.299805,1028551000,11.89990234,0.001865364,0.007257782
3/8/2000,6391.299805,6399.899902,6296.399902,6317.100098,994239000,-74.19970703,-0.011609486,0.016193889
4/8/2000,6317.100098,6415,6317.100098,6363.5,726236000,46.39990234,0.007345127,0.015497602
7/8/2000,6363.5,6400.600098,6355.100098,6387.799805,654157000,24.29980469,0.003818623,0.007150153
8/8/2000,6387.799805,6420,6350.299805,6358.100098,806944000,-29.69970703,-0.004649442,0.010911456
9/8/2000,6358.100098,6463.100098,6358.100098,6414,815315000,55.89990234,0.008791919,0.016514367
10/8/2000,6414,6414,6369.399902,6387.299805,675430000,-26.70019531,-0.004162799,0.006953554
11/8/2000,6387.299805,6394.600098,6348.399902,6384.5,893911000,-2.799804688,-0.000438339,0.007233134
14/8/2000,6384.5,6451.200195,6365.5,6419.899902,626670000,35.39990234,0.005544663,0.013423165
15/8/2000,6419.899902,6482.799805,6419.899902,6475.5,826280000,55.60009766,0.008660586,0.009797645
16/8/2000,6475.5,6553.5,6457,6532.100098,929615000,56.60009766,0.008740653,0.014902324
17/8/2000,6532,6537.399902,6482,6518.200195,899928000,-13.89990234,-0.002127938,0.008481178
18/8/2000,6518.200195,6552,6510.799805,6543.700195,804673000,25.5,0.003912123,0.006320793
21/8/2000,6543.700195,6555.5,6491.399902,6542.200195,605220000,-1.5,-0.000229228,0.009795696
22/8/2000,6542.200195,6605.200195,6520.299805,6584.799805,1119516000,42.59960938,0.006511511,0.012977345
23/8/2000,6584.799805,6590.700195,6535.200195,6566.200195,982635000,-18.59960938,-0.002824628,0.008428502
24/8/2000,6566.200195,6605.5,6546.700195,6557,1066864000,-9.200195313,-0.001401145,0.008954921
25/8/2000,6557,6619.100098,6538.299805,6563.700195,864787000,6.700195313,0.001021839,0.012322753
29/8/2000,6563.700195,6601.100098,6560.200195,6586.299805,717816000,22.59960938,0.00344312,0.006231226
30/8/2000,6586.299805,6624.899902,6586.100098,6615.100098,932981000,28.80029297,0.004372758,0.005890987
31/8/2000,6615.100098,6675.700195,6585.200195,6672.700195,1410547000,57.60009766,0.008707366,0.013680821
1/9/2000,6672.700195,6838.600098,6672.700195,6795,1315938000,122.2998047,0.018328383,0.024862484
4/9/2000,6795,6828.700195,6783,6798.100098,787014000,3.100097656,0.000456232,0.006725562
5/9/2000,6798.100098,6809.5,6737.600098,6752.5,882282000,-45.60009766,-0.006707771,0.01057647
